day,count
2016-01-01,11009
2016-01-02,14587
2016-01-03,15499
2016-01-04,19593
2016-01-05,18053
2016-01-06,24569
2016-01-07,27773
2016-01-08,28709
2016-01-09,20846
2016-01-10,14275
2016-01-11,22937
2016-01-12,25211
2016-01-13,21133
2016-01-14,23780
2016-01-15,28435
2016-01-16,19178
2016-01-17,12024
2016-01-18,12718
2016-01-19,17281
2016-01-20,23420
2016-01-21,23672
2016-01-22,20950
2016-01-27,6761
2016-01-28,11946
2016-01-29,16028
2016-01-30,12973
2016-01-31,16118
2016-02-01,24334
2016-02-02,28528
2016-02-03,16203
2016-02-04,27766
2016-02-05,13670
2016-02-06,16933
2016-02-07,17605
2016-02-08,19026
2016-02-09,22741
2016-02-10,22420
2016-02-11,18748
2016-02-12,16449
2016-02-13,6625
2016-02-14,4653
2016-02-15,5884
2016-02-16,14542
2016-02-17,23572
2016-02-18,22261
2016-02-19,21959
2016-02-20,24484
2016-02-21,20052
2016-02-22,28233
2016-02-23,16133
2016-02-24,9761
2016-02-25,25102
2016-02-26,22573
2016-02-27,17226
2016-02-28,25437
2016-02-29,27954
2016-03-01,30509
2016-03-02,26195
2016-03-03,24061
2016-03-04,17369
2016-03-05,18023
2016-03-06,18832
2016-03-07,31492
2016-03-08,36521
2016-03-09,41490
2016-03-10,42252
2016-03-11,38195
2016-03-12,32771
2016-03-13,27550
2016-03-14,10930
2016-03-15,31596
2016-03-16,36067
2016-03-17,35390
2016-03-18,34647
2016-03-19,24048
2016-03-20,16678
2016-03-21,26414
2016-03-22,33497
2016-03-23,40983
2016-03-24,36495
2016-03-25,34097
2016-03-26,27478
2016-03-27,22483
2016-03-28,20345
2016-03-29,31481
2016-03-30,33684
2016-03-31,38348
2016-04-01,34449
2016-04-02,21839
2016-04-03,15322
2016-04-04,12302
2016-04-05,26238
2016-04-06,29365
2016-04-07,30402
2016-04-08,30817
2016-04-09,12702
2016-04-10,23229
2016-04-11,32048
2016-04-12,23765
2016-04-13,37539
2016-04-14,38505
2016-04-15,39676
2016-04-16,36148
2016-04-17,38843
2016-04-18,43994
2016-04-19,46075
2016-04-20,44547
2016-04-21,45570
2016-04-22,48815
2016-04-23,33647
2016-04-24,37866
2016-04-25,42308
2016-04-26,34643
2016-04-27,41931
2016-04-28,37428
2016-04-29,34878
2016-04-30,38258
2016-05-01,10697
2016-05-02,38537
2016-05-03,22858
2016-05-04,31619
2016-05-05,39903
2016-05-06,18860
2016-05-07,31078
2016-05-08,31197
2016-05-09,45724
2016-05-10,44849
2016-05-11,51181
2016-05-12,52273
2016-05-13,32391
2016-05-14,42063
2016-05-15,28661
2016-05-16,42787
2016-05-17,43396
2016-05-18,44803
2016-05-19,49182
2016-05-20,52543
2016-05-21,30519
2016-05-22,37802
2016-05-23,48578
2016-05-24,34796
2016-05-25,53439
2016-05-26,52133
2016-05-27,46937
2016-05-28,34222
2016-05-29,36877
2016-05-30,32619
2016-05-31,49756
2016-06-01,54665
2016-06-02,54401
2016-06-03,38975
2016-06-04,40977
2016-06-05,22397
2016-06-06,52149
2016-06-07,51812
2016-06-08,42250
2016-06-09,52905
2016-06-10,53299
2016-06-11,41030
2016-06-12,40637
2016-06-13,49069
2016-06-14,54813
2016-06-15,55049
2016-06-16,46198
2016-06-17,54236
2016-06-18,48901
2016-06-19,45270
2016-06-20,52247
2016-06-21,53564
2016-06-22,55749
2016-06-23,53206
2016-06-24,54186
2016-06-25,43000
2016-06-26,42992
2016-06-27,47023
2016-06-28,49593
2016-06-29,54882
2016-06-30,54843
2016-07-01,39669
2016-07-02,35837
2016-07-03,35348
2016-07-04,34860
2016-07-05,43744
2016-07-06,51353
2016-07-07,48742
2016-07-08,44419
2016-07-09,38142
2016-07-10,41991
2016-07-11,52870
2016-07-12,56537
2016-07-13,55486
2016-07-14,50350
2016-07-15,48572
2016-07-16,38406
2016-07-17,41347
2016-07-18,43687
2016-07-19,54593
2016-07-20,57225
2016-07-21,54842
2016-07-22,49191
2016-07-23,37523
2016-07-24,39637
2016-07-25,35379
2016-07-26,52912
2016-07-27,54163
2016-07-28,50151
2016-07-29,37703
2016-07-30,27780
2016-07-31,27651
2016-08-01,49401
2016-08-02,56764
2016-08-03,57003
2016-08-04,56604
2016-08-05,53297
2016-08-06,44213
2016-08-07,43631
2016-08-08,52262
2016-08-09,56112
2016-08-10,50114
2016-08-11,47430
2016-08-12,44750
2016-08-13,38912
2016-08-14,32961
2016-08-15,49063
2016-08-16,50426
